date,palk,par_palk,osakaal
01-01-2002,366,584,21.7
01-04-2002,406,639,23.4
01-07-2002,374,592,21.6
01-10-2002,416,657,23.9
01-01-2003,405,631,22.8
01-04-2003,442,690,24.5
01-07-2003,411,643,22.7
01-10-2003,455,711,24.9
01-01-2004,431,669,23.2
01-04-2004,474,718,24.5
01-07-2004,449,676,23
01-10-2004,492,735,24.9
01-01-2005,475,705,23.6
01-04-2005,530,775,25.7
01-07-2005,498,718,23.7
01-10-2005,555,797,26.2
01-01-2006,549,780,25.7
01-04-2006,609,853,28.1
01-07-2006,580,801,26.1
01-10-2006,653,898,29.2
01-01-2007,660,892,29
01-04-2007,738,978,32.1
01-07-2007,697,905,29.7
01-10-2007,784,988,31.5
01-01-2008,788,958,30.8
01-04-2008,850,1011,32.6
01-07-2008,800,937,30.2
01-10-2008,838,976,30.3
01-01-2009,776,915,28.3
01-04-2009,813,970,29.6
01-07-2009,752,890,26.9
01-10-2009,783,930,27.8
01-01-2010,758,891,26.9
01-04-2010,822,951,28.8
01-07-2010,759,870,26.3
01-10-2010,814,919,27.8
01-01-2011,792,884,27
01-04-2011,857,942,28.7
01-07-2011,809,881,26.9
01-10-2011,865,938,28.6
01-01-2012,847,906,27.5
01-04-2012,900,952,28.9
01-07-2012,855,898,27.2
01-10-2012,916,958,28.9
01-01-2013,900,930,28.1
01-04-2013,976,999,30.1
01-07-2013,930,950,28.5
01-10-2013,986,1016,30.4
01-01-2014,966,992,29.8
01-04-2014,1023,1047,31.5
01-07-2014,977,1004,30.1
01-10-2014,1039,1075,32.2
01-01-2015,1010,1046,31
01-04-2015,1082,1108,32.8
01-07-2015,1045,1079,31.9
01-10-2015,1105,1150,33.9
01-01-2016,1091,1135,33.3
01-04-2016,1163,1199,35.3
01-07-2016,1119,1150,33.8
01-10-2016,1182,1214,35.8
01-01-2017,1153,1165,34.5
01-04-2017,1242,1242,36.8
